RANKED SIMILARITIES: 1
12 56 0.177136932577
12 4 0.183080264773
12 82 0.278941127064
12 15 0.293337541977
12 6 0.945508964978
12 32 0.955811686523
12 65 0.95850492332
12 44 0.963534824785
12 89 0.964350841259
12 69 0.98129042634
12 95 0.984608316444
12 29 0.998493331691
12 63 1.00369152005
12 33 1.00653699893
12 68 1.01236170677
12 31 1.0353719146
12 3 1.0366219491
12 94 1.04323970124
12 51 1.04728684653
12 97 1.05566041634
12 73 1.06548249317
12 14 1.08391718027
12 78 1.13049555638
12 85 1.16358646635
12 5 1.16514243307
12 83 1.20337340885
12 16 1.21218206469
12 13 1.28345175315
12 92 1.29371958768
12 40 1.32247740996
12 91 1.37118504756
12 8 1.37622876114
12 76 1.38026522628
12 54 1.43499836334
12 18 1.44294590242
12 45 1.47586445038
12 27 1.49124802254
12 37 1.53174507957
12 75 1.53274988747
12 79 1.53783049785
12 7 1.55218607771
12 2 1.57038353196
12 88 1.57362181501
12 58 1.68958591511
12 41 1.68986606933
12 34 1.75962056238
12 80 1.77020953082
12 90 1.77278530032
12 30 1.78797127501
12 72 1.78867515522
12 35 1.80977868185
12 20 1.81601854773
12 71 1.8184017375
12 57 1.82124572363
12 26 1.82515507386
12 59 1.82879567509
12 62 1.82882591144
12 77 1.84056587325
12 96 1.85027651598
12 46 1.85275642784
12 43 1.85532466062
12 28 1.85889230623
12 66 1.86100430351
12 86 1.86339801156
12 93 1.86421920222
12 74 1.86763412036
12 49 1.87026415028
12 24 1.87102885755
12 17 1.87305013037
12 61 1.8771171202
12 70 1.88106844507
12 42 1.88129152888
12 22 1.88199362146
12 23 1.88289370531
12 10 1.89163649964
12 84 1.89570531792
12 81 1.89975808781
12 60 1.90173259423
12 36 1.90380176339
12 11 1.90387828086
12 50 1.90657290667
12 21 1.90867416529
12 38 1.91435370119
12 39 1.91659151251
12 25 inf
12 48 inf
12 52 inf
12 53 inf
12 55 inf
12 64 inf
12 67 inf
12 87 inf
RANKED SIMILARITIES: 13
13 5 0.259755090618
13 29 0.46364083645
13 78 0.831853993409
13 6 0.995920465132
13 32 1.0096145404
